,problem,makespan,status,duration
0,0,233.0,FEASIBLE,300.07777699400003
1,1,263.0,FEASIBLE,300.083516922
2,2,254.0,FEASIBLE,300.09841045300004
3,3,267.0,FEASIBLE,300.072770418
4,4,257.0,FEASIBLE,300.067811059
5,5,246.0,FEASIBLE,300.07463057
6,6,244.0,FEASIBLE,300.060361999
7,7,251.0,FEASIBLE,300.066507471
8,8,235.0,FEASIBLE,300.07965211600003
9,9,274.0,FEASIBLE,300.067213133
10,10,236.0,FEASIBLE,300.063018273
11,11,232.0,FEASIBLE,300.075020304
