,problem,makespan,status,duration
0,0,36.0,OPTIMAL,0.048881610000000006
1,1,31.0,OPTIMAL,0.027695122000000003
2,2,32.0,OPTIMAL,0.049043551000000005
3,3,31.0,OPTIMAL,0.129169841
4,4,29.0,OPTIMAL,0.04285804
5,5,37.0,OPTIMAL,0.039861883
6,6,32.0,OPTIMAL,0.029873542000000003
7,7,32.0,OPTIMAL,0.050963898
8,8,43.0,OPTIMAL,0.044220629000000004
9,9,36.0,OPTIMAL,0.040505159000000006
10,10,30.0,OPTIMAL,0.05255904
11,11,35.0,OPTIMAL,0.048917797000000006
