,problem,makespan,status,duration
0,0,137.0,OPTIMAL,9.160190065
1,1,126.0,OPTIMAL,13.334766876000002
2,2,126.0,OPTIMAL,65.35267301200001
3,3,146.0,OPTIMAL,13.267324032000001
4,4,155.0,OPTIMAL,28.891662591000003
5,5,128.0,OPTIMAL,20.31797209
6,6,133.0,OPTIMAL,27.021488428
7,7,157.0,OPTIMAL,21.909822628
8,8,136.0,OPTIMAL,20.585933581000003
9,9,139.0,OPTIMAL,18.427939466
10,10,133.0,OPTIMAL,16.079156017000003
11,11,123.0,OPTIMAL,17.564811538
