,problem,makespan,status,duration
0,0,56.0,OPTIMAL,1.5051012350000001
1,1,60.0,OPTIMAL,1.4628198890000002
2,2,55.0,OPTIMAL,5.188605917
3,3,58.0,OPTIMAL,1.67361344
4,4,60.0,OPTIMAL,0.5023416540000001
5,5,57.0,OPTIMAL,0.20643861900000002
6,6,50.0,OPTIMAL,0.342946218
7,7,54.0,OPTIMAL,0.328870789
8,8,49.0,OPTIMAL,0.553882883
9,9,47.0,OPTIMAL,0.250757331
10,10,54.0,OPTIMAL,1.5595411780000001
11,11,58.0,OPTIMAL,0.557402615
